round,colony,treatment,dose,pristine/g,replicate,count,start_date,start_time,start_weight,end_date,end_time,end_weight,whole_dif,pristine_consumed,difference,percent_consumed,dose_consumed,id,pid,bees_alive,minmax
2,5.12R2,5,150000,0.00015,12,16,9/21/2022,10:30,0.97427,9/23/2022,10:00,0.90657,0.0677,0.000010155,0.14317,0.069487924,10423.18864,212,R2.5.12-16,5,0.089879408
2,1.12R2,1,0,0,12,17,9/23/2022,10:30,0.95519,9/25/2022,12:00,0.8814,0.07379,0,0.14886,0.077251646,0,1235,R2.1.12-17,3,0.09352053
2,1.11R2,1,0,0,11,6,8/30/2022,11:30,1.14008,9/1/2022,10:30,1.0552,0.08488,0,0.15042,0.074450916,0,1246,R2.1.11-6,5,0.094518799
2,3.1R2,3,1500,0.0000015,1,6,8/20/2022,14:50,1.48132,8/22/2022,11:00,1.43397,0.04735,7.10E-08,0.1514,0.031964734,47.94710123,672,R2.3.1-6,5,0.095145917
2,1.12R2,1,0,0,12,23,10/5/2022,10:00,1.0595,10/6/2022,9:30,0.98991,0.06959,0,0.15315,0.065681925,0,1241,R2.1.12-23,1,0.09626577
2,3.9R2,3,1500,0.0000015,9,2,8/20/2022,14:50,0.79808,8/22/2022,11:00,0.74825,0.04983,7.47E-08,0.15388,0.06243735,93.65602446,505,R2.3.9-2,5,0.096732909
2,1.12R2,1,0,0,12,13,9/15/2022,9:45,0.6659,9/17/2022,11:30,0.60425,0.06165,0,0.15406,0.092581469,0,1231,R2.1.12-13,3,0.096848094
2,1.7R2,1,0,0,7,6,8/22/2022,10:30,1.14275,8/24/2022,13:00,1.07062,0.07213,0,0.15415,0.063119667,0,1038,R2.1.7-6,5,0.096905686
2,1.12R2,1,0,0,12,18,9/25/2022,12:00,1.13635,9/27/2022,11:30,1.05084,0.08551,0,0.1567,0.075249703,0,1236,R2.1.12-18,2,0.098537472
2,1.12R2,1,0,0,12,19,9/27/2022,10:30,1.15725,9/29/2022,10:30,1.06956,0.08769,0,0.15888,0.075774465,0,1237,R2.1.12-19,2,0.099932489
2,5.12R2,5,150000,0.00015,12,14,9/17/2022,11:00,1.04551,9/19/2022,12:00,0.96188,0.08363,1.25E-05,0.1591,0.07998967,11998.45052,210,R2.5.12-14,5,0.10007327
2,1.12R2,1,0,0,12,10,9/9/2022,11:30,1.13895,9/11/2022,12:00,1.07109,0.06786,0,0.16027,0.059581193,0,1228,R2.1.12-10,4,0.100821972
2,5.12R2,5,150000,0.00015,12,25,10/9/2022,17:30,0.95493,10/11/2022,10:00,0.87996,0.07497,1.12E-05,0.16185,0.078508372,11776.25585,221,R2.5.12-25,5,0.10183304
2,1.12R2,1,0,0,12,16,9/21/2022,10:30,1.03727,9/23/2022,10:00,0.95043,0.08684,0,0.16191,0.083719764,0,1234,R2.1.12-16,3,0.101871434
2,5.9R2,5,150000,0.00015,9,3,8/20/2022,14:50,1.1399,8/22/2022,11:00,1.05455,0.08535,1.28E-05,0.16213,0.074874989,11231.24836,2,R2.5.9-3,5,0.102012216
2,5.12R2,5,150000,0.00015,12,5,8/30/2022,11:30,1.22292,9/1/2022,10:30,1.14765,0.07527,1.13E-05,0.16305,0.061549406,9232.410951,201,R2.5.12-5,5,0.102600939
2,3.4R2,3,1500,0.0000015,4,6,8/20/2022,14:50,1.23731,8/22/2022,11:00,1.17516,0.06215,9.32E-08,0.16316,0.050229934,75.34490144,571,R2.3.4-6,5,0.10267133
2,3.11R2,3,1500,0.0000015,11,4,8/26/2022,10:30,1.13469,8/28/2022,13:40,1.07299,0.0617,9.26E-08,0.16329,0.054376085,81.56412765,742,R2.3.11-4,5,0.102754519
2,5.12R2,5,150000,0.00015,12,21,10/1/2022,11:45,1.14228,10/3/2022,9:40,1.06429,0.07799,1.17E-05,0.16355,0.068275729,10241.35939,217,R2.5.12-21,5,0.102920897
2,5.1R2,5,150000,0.00015,1,2,8/12/2022,13:20,1.14784,8/14/2022,15:00,1.06087,0.08697,1.30E-05,0.16375,0.0757684,11365.25997,157,R2.5.1-2,5,0.10304888
2,5.7R2,5,150000,0.00015,7,7,8/26/2022,10:30,1.14465,8/28/2022,13:40,1.07479,0.06986,0.000010479,0.16414,0.061031756,9154.763465,28,R2.5.7-7,5,0.103298447
2,1.12R2,1,0,0,12,7,9/3/2022,12:20,1.12886,9/5/2022,12:40,1.06531,0.06355,0,0.16459,0.056295732,0,1225,R2.1.12-7,5,0.103586409
2,1.12R2,1,0,0,12,20,9/29/2022,10:00,1.26381,10/1/2022,12:00,1.1702,0.09361,0,0.1648,0.074069678,0,1238,R2.1.12-20,2,0.103720792
2,4.3R2,4,15000,0.000015,3,6,8/20/2022,14:50,1.05407,8/22/2022,11:00,0.97933,0.07474,1.12E-06,0.16484,0.070906107,1063.591602,333,R2.4.3-6,5,0.103746388
2,5.5R2,5,150000,0.00015,5,6,8/20/2022,14:50,1.08433,8/22/2022,11:00,0.99585,0.08848,0.000013272,0.16526,0.081598775,12239.81629,45,R2.5.5-6,5,0.104015153
2,1.11R2,1,0,0,11,22,10/1/2022,11:45,0.95498,10/3/2022,9:40,0.87278,0.0822,0,0.16576,0.086075101,0,1262,R2.1.11-22,5,0.104335111
2,1.11R2,1,0,0,11,7,9/1/2022,10:30,1.06975,9/3/2022,12:20,0.96868,0.10107,0,0.16661,0.094480019,0,1247,R2.1.11-7,5,0.10487904
2,1.12R2,1,0,0,12,15,9/19/2022,10:45,1.22639,9/21/2022,12:00,1.13416,0.09223,0,0.1673,0.075204462,0,1233,R2.1.12-15,3,0.105320582
2,1.12R2,1,0,0,12,11,9/11/2022,12:00,0.79053,9/13/2022,12:30,0.71537,0.07516,0,0.16757,0.095075456,0,1229,R2.1.12-11,3,0.105493359
2,4.2R2,4,15000,0.000015,2,21,9/23/2022,10:30,0.83523,9/24/2022,13:00,0.74367,0.09156,1.37E-06,0.16908,0.109622499,1644.337488,389,R2.4.2-21,3,0.106459632
2,5.4R2,5,150000,0.00015,4,2,8/14/2022,14:40,1.08122,8/16/2022,15:30,0.99611,0.08511,1.28E-05,0.17035,0.078716635,11807.49524,61,R2.5.4-2,5,0.107272326
2,5.2R2,5,150000,0.00015,2,4,8/20/2022,14:50,1.10268,8/22/2022,11:00,1.01645,0.08623,1.29E-05,0.17147,0.078200385,11730.05768,118,R2.5.2-4,5,0.107989032
2,5.2R2,5,150000,0.00015,2,2,8/16/2022,14:00,1.15475,8/18/2022,14:00,1.06571,0.08904,0.000013356,0.17428,0.077107599,11566.13986,116,R2.5.2-2,5,0.109787196
2,1.12R2,1,0,0,12,22,10/3/2022,9:30,1.1452,10/5/2022,10:30,1.05327,0.09193,0,0.17549,0.080274188,0,1240,R2.1.12-22,2,0.110561494
2,1.12R2,1,0,0,12,21,10/1/2022,11:45,1.17703,10/3/2022,9:40,1.08493,0.0921,0,0.17566,0.078247793,0,1239,R2.1.12-21,2,0.11067028
2,1.12R2,1,0,0,12,5,8/30/2022,11:30,1.0138,9/1/2022,10:30,0.90359,0.11021,0,0.17575,0.108709805,0,1223,R2.1.12-5,5,0.110727873
2,1.11R2,1,0,0,11,21,9/29/2022,10:00,1.02691,10/1/2022,12:00,0.92211,0.1048,0,0.17599,0.102053734,0,1261,R2.1.11-21,5,0.110881452
2,2.4R2,2,150,0.00000015,4,5,8/20/2022,14:50,1.23877,8/22/2022,11:00,1.17954,0.05923,8.88E-09,0.17677,0.047813557,7.172033549,826,R2.2.4-5,5,0.111380587
2,3.4R2,3,1500,0.0000015,4,2,8/12/2022,13:20,1.56501,8/14/2022,15:00,1.48868,0.07633,1.14E-07,0.17734,0.048772851,73.15927694,567,R2.3.4-2,5,0.111745339
2,1.12R2,1,0,0,12,14,9/17/2022,11:00,1.16112,9/19/2022,12:00,1.05876,0.10236,0,0.17743,0.088156263,0,1232,R2.1.12-14,3,0.111802931
2,4.7R2,4,15000,0.000015,7,6,8/24/2022,12:00,0.88813,8/26/2022,11:00,0.81651,0.07162,1.07E-06,0.17808,0.080641348,1209.620213,269,R2.4.7-6,5,0.112218877
2,5.4R2,5,150000,0.00015,4,22,9/21/2022,10:30,1.10755,9/22/2022,11:00,1.00376,0.10379,1.56E-05,0.17926,0.093711345,14056.70173,80,R2.5.4-22,5,0.112973978
2,1.12R2,1,0,0,12,9,9/7/2022,10:30,1.03094,9/9/2022,12:00,0.9516,0.07934,0,0.18038,0.076958892,0,1227,R2.1.12-9,4,0.113690684
2,1.11R2,1,0,0,11,5,8/28/2022,1:00,1.25522,8/30/2022,12:00,1.14032,0.1149,0,0.18044,0.091537738,0,1245,R2.1.11-5,5,0.113729079
2,5.12R2,5,150000,0.00015,12,24,10/7/2022,10:00,1.20705,10/9/2022,17:30,1.11169,0.09536,0.000014304,0.18092,0.079002527,11850.37902,220,R2.5.12-24,5,0.114036238
2,5.12R2,5,150000,0.00015,12,29,10/17/2022,9:30,1.09953,10/19/2022,11:20,1.00517,0.09436,0.000014154,0.18124,0.085818486,12872.77291,225,R2.5.12-29,5,0.114241012
2,5.12R2,5,150000,0.00015,12,10,9/9/2022,11:30,1.09525,9/11/2022,12:00,1.00059,0.09466,0.000014199,0.18143,0.086427756,12964.16343,206,R2.5.12-10,5,0.114362596
2,5.11R2,5,150000,0.00015,11,6,9/1/2022,10:30,1.20614,9/3/2022,12:20,1.11166,0.09448,0.000014172,0.18226,0.078332532,11749.87978,230,R2.5.11-6,5,0.114893726
2,4.7R2,4,15000,0.000015,7,2,8/16/2022,14:00,1.0734,8/18/2022,14:00,0.99835,0.07505,1.13E-06,0.18232,0.069918018,1048.770263,265,R2.4.7-2,5,0.114932121
2,1.11R2,1,0,0,11,20,9/27/2022,10:30,1.04263,9/29/2022,10:30,0.93144,0.11119,0,0.18238,0.106643776,0,1260,R2.1.11-20,5,0.114970516
2,5.12R2,5,150000,0.00015,12,4,8/28/2022,1:00,1.15061,8/30/2022,12:00,1.056,0.09461,1.42E-05,0.18239,0.08222595,12333.89246,200,R2.5.12-4,5,0.114976915
2,3.4R2,3,1500,0.0000015,4,8,8/24/2022,12:00,1.43563,8/26/2022,11:00,1.35439,0.08124,1.22E-07,0.18283,0.056588397,84.8825951,573,R2.3.4-8,5,0.115258478
2,5.12R2,5,150000,0.00015,12,23,10/5/2022,10:00,1.35769,10/7/2022,9:30,1.25976,0.09793,1.47E-05,0.18349,0.072129868,10819.48015,219,R2.5.12-23,5,0.115680823
2,5.12R2,5,150000,0.00015,12,26,10/11/2022,10:00,1.24235,10/13/2022,9:00,1.14558,0.09677,1.45E-05,0.18365,0.077892703,11683.9055,222,R2.5.12-26,5,0.115783209
2,5.12R2,5,150000,0.00015,12,22,10/3/2022,9:30,1.34621,10/5/2022,10:30,1.2476,0.09861,1.48E-05,0.18417,0.073250087,10987.51309,218,R2.5.12-22,5,0.116115966
2,5.12R2,5,150000,0.00015,12,2,8/24/2022,12:00,1.14936,8/26/2022,11:00,1.05104,0.09832,0.000014748,0.1845,0.085543259,12831.48883,198,R2.5.12-2,5,0.116327138
2,4.5R2,4,15000,0.000015,5,2,8/16/2022,14:00,0.96882,8/18/2022,14:00,0.89118,0.07764,1.16E-06,0.18491,0.080138725,1202.080882,283,R2.4.5-2,5,0.116589503
2,1.9R2,1,0,0,9,10,9/1/2022,10:30,0.87435,9/3/2022,12:20,0.78389,0.09046,0,0.18516,0.103459713,0,1015,R2.1.9-10,5,0.116749482
2,1.2R2,1,0,0,2,9,8/30/2022,11:30,1.24379,9/1/2022,10:30,1.12387,0.11992,0,0.18546,0.09641499,0,1141,R2.1.2-9,5,0.116941457
2,5.9R2,5,150000,0.00015,9,4,8/22/2022,10:30,1.06168,8/24/2022,13:00,0.96974,0.09194,0.000013791,0.18622,0.086598598,12989.78977,3,R2.5.9-4,5,0.117427793
