"colony","whole.mean","mean.dose","round","treatment","replicate","id","emerge_time","wet_weight","dry_weight","alive?","radial","abdomen_dry","order_on_sheet","abdomen_post_ethyl","fat_content","relative_fat","workers_alive","alive","qro","duration"
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.17",38,1.3074,0.0463,1,2.495,0.0224,"174",0.0182,0.0042,0.0017,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.9",36,1.1604,0.0555,1,2.6851,0.0288,"112",0.0225,0.0063,0.0024,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.2",33,1.173,0.0526,1,2.5023,0.013,"35",0.0094,0.0036,0.0015,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.11",36,1.1373,0.0516,1,2.8056,0.0287,"114",0.0235,0.0052,0.0019,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.5",34,1.1066,0.0385,1,2.4695,0.0192,"60",0.0119,0.0073,0.003,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.10",36,1.1132,0.0494,1,2.7112,0.0254,"113",0.0207,0.0048,0.0018,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.19",39,1.3165,0.0446,1,2.544,0.0187,"207",0.0151,0.0036,0.0014,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.21",39,1.3001,0.0437,1,2.6976,0.0201,"209",0.0167,0.0034,0.0013,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.12",38,1.2193,0.054,1,2.6673,0.0297,"169",0.023,0.0066,0.0025,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.18",38,1.2106,0.0367,1,2.297,0.0188,"175",0.0134,0.0054,0.0023,4,TRUE,"B4",37
"1.5R2",0.707951578947368,0,"2","1","5","1.5R2.6",34,0.1798,0.0372,1,2.4985,0.016,"61",0.0161,-1e-04,NA,4,TRUE,"B4",37
