colony,whole.mean,mean.dose,round,treatment,replicate,biobest_origin,start_wet_weight,alive_at_end,dead_at_end,shut_down_dt,dry weight,days_alive,colony_duration,proportion,qro,dry,alive,dead,survived,died,logdays,dry_weight
4.12R2,0.249629474,2085.616936,2,4,12,B1,0.09287,0,1,10/7/2022,0.03652,46,46,1,B1,0.03652,3,2,0,1,3.828641396,0.03652
4.1R2,0.7074755,8936.658231,2,4,1,B1,0.10041,1,0,9/21/2022,0.04347,42,42,1,B1,0.04347,5,0,1,0,3.737669618,0.04347
4.1R2,0.7074755,8936.658231,2,4,1,B1,0.11223,1,0,9/21/2022,0.04431,42,42,1,B1,0.04431,5,0,1,0,3.737669618,0.04431
4.1R2,0.7074755,8936.658231,2,4,1,B1,0.07871,1,0,9/21/2022,0.0595,42,42,1,B1,0.0595,5,0,1,0,3.737669618,0.0595
4.1R2,0.7074755,8936.658231,2,4,1,B1,0.10184,1,0,9/21/2022,0.04935,42,42,1,B1,0.04935,5,0,1,0,3.737669618,0.04935
4.1R2,0.7074755,8936.658231,2,4,1,B1,0.15402,1,0,9/21/2022,0.03713,42,42,1,B1,0.03713,5,0,1,0,3.737669618,0.03713
4.2R2,0.38717425,4380.604838,2,4,2,B5,0.11087,1,0,9/24/2022,0.04061,41,41,1,B5,0.04061,3,2,1,0,3.713572067,0.04061
4.2R2,0.38717425,4380.604838,2,4,2,B5,0.15895,1,0,9/24/2022,0.03169,41,41,1,B5,0.03169,3,2,1,0,3.713572067,0.03169
4.2R2,0.38717425,4380.604838,2,4,2,B5,0.15895,1,0,9/24/2022,0.03487,41,41,1,B5,0.03487,3,2,1,0,3.713572067,0.03487
4.2R2,0.38717425,4380.604838,2,4,2,B5,0.17413,0,1,9/24/2022,0.08811,36,41,0.87804878,B5,0.08811,3,2,0,1,3.583518938,0.08811
4.2R2,0.38717425,4380.604838,2,4,2,B5,0.17054,0,1,9/24/2022,0.02859,39,41,0.951219512,B5,0.02859,3,2,0,1,3.663561646,0.02859
4.3R2,0.580007368,6846.910598,2,4,3,B3,0.25191,1,0,9/19/2022,0.09836,40,40,1,B3,0.09836,5,0,1,0,3.688879454,0.09836
4.3R2,0.580007368,6846.910598,2,4,3,B3,0.21695,1,0,9/19/2022,0.03696,40,40,1,B3,0.03696,5,0,1,0,3.688879454,0.03696
4.3R2,0.580007368,6846.910598,2,4,3,B3,0.19497,1,0,9/19/2022,0.04045,40,40,1,B3,0.04045,5,0,1,0,3.688879454,0.04045
4.3R2,0.580007368,6846.910598,2,4,3,B3,0.23533,1,0,9/19/2022,0.06551,40,40,1,B3,0.06551,5,0,1,0,3.688879454,0.06551
4.3R2,0.580007368,6846.910598,2,4,3,B3,0.16444,1,0,9/19/2022,0.04931,40,40,1,B3,0.04931,5,0,1,0,3.688879454,0.04931
4.4R2,0.835624737,10230.80238,2,4,4,B5,0.33799,1,0,9/19/2022,0.06175,40,40,1,B5,0.06175,5,0,1,0,3.688879454,0.06175
4.4R2,0.835624737,10230.80238,2,4,4,B5,0.30578,1,0,9/19/2022,0.10903,40,40,1,B5,0.10903,5,0,1,0,3.688879454,0.10903
4.4R2,0.835624737,10230.80238,2,4,4,B5,0.32634,1,0,9/19/2022,0.08453,40,40,1,B5,0.08453,5,0,1,0,3.688879454,0.08453
4.4R2,0.835624737,10230.80238,2,4,4,B5,0.24552,1,0,9/19/2022,0.08078,40,40,1,B5,0.08078,5,0,1,0,3.688879454,0.08078
4.4R2,0.835624737,10230.80238,2,4,4,B5,0.20482,1,0,9/19/2022,0.10796,40,40,1,B5,0.10796,5,0,1,0,3.688879454,0.10796
4.5R2,0.233596667,1757.692975,2,4,5,B4,0.11587,1,0,9/11/2022,0.05695,26,26,1,B4,0.05695,0,5,1,0,3.258096538,0.05695
4.5R2,0.233596667,1757.692975,2,4,5,B4,0.18927,0,1,9/11/2022,0.04032,6,28,0.214285714,B4,0.04032,0,5,0,1,1.791759469,0.04032
4.5R2,0.233596667,1757.692975,2,4,5,B4,0.15311,0,1,9/11/2022,0.04652,28,28,1,B4,0.04652,0,5,0,1,3.33220451,0.04652
